time,open,max,min,close,result
2023-05-14 03:10:00.000000,1.109685,1.109715,1.109585,1.109695,loss
2023-05-14 03:11:00.000000,1.109705,1.109845,1.109705,1.109785,loss
2023-05-14 03:12:00.000000,1.109785,1.109905,1.109775,1.109875,loss
2023-05-14 03:13:00.000000,1.109875,1.109885,1.109625,1.109625,loss
2023-05-14 03:14:00.000000,1.109635,1.109635,1.109555,1.109605,loss
2023-05-14 03:15:00.000000,1.109605,1.109635,1.109545,1.109575,loss
2023-05-14 03:16:00.000000,1.109575,1.109575,1.109305,1.109345,loss
2023-05-14 03:17:00.000000,1.109335,1.109385,1.109295,1.109295,loss
2023-05-14 03:18:00.002131,1.109295,1.109335,1.109225,1.109245,loss
2023-05-14 03:18:00.002131,1.109295,1.109335,1.109225,1.109245,loss
2023-05-14 05:21:00,1.109415,1.109435,1.109285,1.109285,loss
2023-05-14 05:22:00,1.109285,1.109285,1.109025,1.109175,loss
2023-05-14 05:23:00,1.109175,1.109235,1.109075,1.109205,loss
2023-05-14 05:24:00,1.109195,1.109245,1.108995,1.108995,loss
2023-05-14 05:25:00,1.108995,1.109015,1.108875,1.108965,loss
2023-05-14 05:26:00,1.108965,1.108965,1.108745,1.108795,loss
2023-05-14 05:27:00,1.108795,1.108815,1.108725,1.108815,loss
2023-05-14 05:28:00,1.108815,1.108855,1.108745,1.108855,loss
2023-05-14 05:29:00,1.108855,1.108875,1.108805,1.108855,loss
2023-05-14 05:30:00,1.108855,1.109075,1.108835,1.109065,loss
2023-05-14 05:31:00,1.109075,1.109115,1.109005,1.109045,loss
2023-05-14 05:32:00,1.109035,1.109035,1.108905,1.108965,loss
2023-05-14 05:33:00,1.108915,1.108975,1.108855,1.108935,loss
2023-05-14 05:34:00,1.108935,1.109065,1.108925,1.108995,loss
2023-05-14 05:35:00,1.108995,1.109005,1.108835,1.108845,loss
2023-05-14 05:36:00,1.108895,1.108905,1.108805,1.108825,loss
2023-05-14 05:37:00,1.108815,1.109055,1.108795,1.109045,loss
2023-05-14 05:38:00,1.109065,1.109155,1.108985,1.109155,loss
2023-05-14 05:38:59,1.109155,1.109195,1.109115,1.109155,loss
2023-05-14 05:38:59,1.109155,1.109195,1.109115,1.109155,loss
2023-05-14 05:30:00,1.108855,1.109075,1.108835,1.109065,loss
2023-05-14 05:31:00,1.109075,1.109115,1.109005,1.109045,loss
2023-05-14 05:32:00,1.109035,1.109035,1.108905,1.108965,loss
2023-05-14 05:33:00,1.108915,1.108975,1.108855,1.108935,loss
